PO Number (if  first tier vendor) or ICA-DOU (if IBM entity or IBM Subsidiary)|Procurement Vendor ID (Mandatory for 1° Tier Vendor)|Supplier Name|Country|VAT Number|PO Number (if  first tier vendor) or ICA-DOU (if IBM entity or IBM Subsidiary)|Is the PO GDPR Relevant?|Is there further sub-contracting to second or third tier vendors? If so please provide the full names and full address of 2nd or 3rd tier vendors|Briefly describe the type of services/data processing activity performed by the Vendor|In what category is the Vendor s Service Description ? (using the categories in GSAR (Global Solution Architecture Repository))|PO Status|Start Date|End Date|Business Unit that provide the services through this vendor (free text )|Requester/Approver Name|Please identify the Customer(s) or Account(s) under the PO|NOTE|FP - T&M|Full Supplier Address
5004958811|1000089643|COMPUTER TASK GROUP INC|UNITED STATES|Not Applicable|5004958811|Yes|N/A|IPAM SUPPORT - DISTRIBUTION CENTER SYSTEM ANALYST|NA as not GDPR Relevent|Open|12/31/2016|5/28/2018|GTS IS|Paula Wilson|MO/WAL-MART G O|US|FP|800 DELAWARE AVENY14209-2094BUFFALO
5004959430|1000089643|COMPUTER TASK GROUP INC|UNITED STATES|Not Applicable|5004959430|Yes|N/A|PO EXPIRED|NA as not GDPR Relevent|Open|12/31/2016|11/28/2017|GTS IS|Paula Wilson|MO/WAL-MART G O|US|FP|800 DELAWARE AVENY14209-2094BUFFALO
5004959493|1000089643|COMPUTER TASK GROUP INC|UNITED STATES|Not Applicable|5004959493|Yes|N/A|ANALYTICS PROGJECT MANAGER|NA as not GDPR Relevent|Open|12/31/2016|5/28/2018|GTS IS|Paula Wilson|MO/WAL-MART G O|US|FP|800 DELAWARE AVENY14209-2094BUFFALO
5005055644|1000307658|ADVANCED TECHNOLOGY SERVICES GROUP|UNITED STATES|Not Applicable|5005055644|Yes (?)|N/A|TECH SVS|NA as not GDPR Relevent|Open|6/1/2017|3/31/2018|GTS IS||RAYTHE|US|FP|1200 ATWATER DRIVE SUITE 170PA19355-8782MALVERN
5004990545|1000367761|MOBI WIRELESS MANAGEMENT LLC|CANADA|Not Applicable|5004990545|Yes|N/A|MANAGED MOBILITY SERVICES (MMS)|NA as not GDPR Relevent|Open|1/31/2017|3/30/2018|GTS IS|Linda DIetz|ST STRE BK & TR|US|FP|DEPT CH 19911IL60055-0001PALATINE
5005120605|1000367761|MOBI WIRELESS MANAGEMENT LLC|CANADA|Not Applicable|5005120605|Yes|N/A|MANAGED MOBILITY SERVICES (MMS)|NA as not GDPR Relevent|Open|11/2/2017|4/30/2019|GTS IS|Linda Dietz|ST STRE BK & TR|US|FP|DEPT CH 19911IL60055-0001PALATINE
5005117426|1000289889|INSIGHT INVESTMENTS LLC|UNITED STATES|Not Applicable|5005117426|Yes|Yes Red8 611 Anton Blvd Suite 700 Costa Mesa CA  92626|LIFE CYCLE MANAGEMENT|Managed Network Services|Open|8/23/2017|11/30/2017|GTS IS|Pratik Khandelwal|SYSCO CORP IS|US|FP|611 ANTON BLVD STE 700CA92626-7050COSTA MESA
5004623382|1000428378|COBALT IRON INC|CANADA|Not Applicable|5004623382|Yes|N/A|STORAGE MAINTENANCE|NA as not GDPR Relevent|Open|4/1/2017|10/1/2017|GTS IS|Yazee Yeluripati|WHIRLPOOL -BH|US|FP|1421 RESEARCH PARK DRIVE SUITE 2CKS66049-3858LAWRENCE
5004760334|1000215063|SITA INFORMATION NETWORKING|CANADA|Unknown|5004760334|Yes|N/A|PERIPHERALS & WINTEL MAINTENANCE|NA as not GDPR Relevent|Open|10/1/2015|8/31/2018|GTS IS|JON KHAN|AIR CANADA|CA|FP|770 SHERBROOKE WEST STREETMONTREALH3A 1G1
5004968706|1000231117|MOORE CANADA CORPORATION|CANADA|Unknown|5004968706|Yes|N/A|FINANCIAL OUTPUT SERVICES|NA as not GDPR Relevent|Open|10/1/2016|6/30/2017|GTS IS|SUSANNE LONG|AIR CANADA|CA|FP|6100 VIPOND DRIVEMISSISSAUGAL5T 2X1
